year,clphsg_all,clghsg_all,clphsg_all_m,clghsg_all_m,clphsg_all_f,clghsg_all_f,eu_shclg,eu_shclg_m,eu_shclg_f,eu_lnclg,eu_lnclg_m,eu_lnclg_f,hr_clg,hr_clg_m,hr_clg_f,hr_hsg,hr_hsg_m,hr_hsg_f,minimum,ur,umm,mur2554
1963,.3913517,.35788584,.31745052,.30498171,.4427042,.39877415,.27534261,.28535569,.23643044,-.96768278,-.9180485,-1.1723502,22950014976,17120052224,5829963776,101249155072,71146389504,30102769664,1.183,5.6750002,3.375,3.8499999
1964,.41262388,.35397387,.35252857,.31367683,.44245768,.37719822,.28454629,.29451942,.24634945,-.92202097,-.87353426,-1.1181778,24317003776,18036543488,6280460288,103128915968,72232378368,30896537600,1.25,5.1750002,2.8,3.2
1965,.42485142,.36879539,.35916901,.31695747,.4609375,.40651798,.28536367,.29829699,.23707639,-.91800934,-.85542065,-1.1687756,26639441920,19830915072,6808525312,111031844864,76784721920,34247118848,1.25,4.5250001,2.3499999,2.675
1966,.41662169,.36630774,.35465288,.33116817,.44492245,.38031673,.29142588,.30428371,.24556756,-.88846892,-.82698143,-1.1223936,28145311744,20598775808,7546536448,112679845888,76815032320,35864817664,1.25,3.8,1.875,2.0999999
1967,.44859791,.38753796,.40029049,.35967064,.45894194,.39284515,.30070496,.31338033,.25677294,-.84394318,-.78436297,-1.0628095,30233040896,21849112576,8383928320,115248398336,77880156160,37368246272,1.4,3.8499999,1.8,1.925
1968,.45591402,.4021368,.39135981,.36278057,.48909044,.4224,.30297753,.31676406,.25610113,-.83315897,-.76868308,-1.0663327,31211022336,22531694592,8679327744,116744814592,78245765120,38499049472,1.6,3.5999999,1.625,1.7
1969,.45035648,.40408945,.40130281,.36946917,.45993519,.41748714,.31187508,.32601202,.26469696,-.79136771,-.72627807,-1.0216972,32775000064,23512043520,9262954496,117183184896,77999267840,39183921152,1.6,3.5,1.525,1.625
1970,.44343042,.39377928,.40750122,.36628532,.43548679,.39848423,.3252849,.33812997,.28307861,-.7295891,-.67163885,-.92924154,34784165888,24623939584,10160227328,115477585920,76764987392,38712598528,1.6,4.9499998,2.55,2.7750001
1971,.46648884,.40613699,.41617632,.37291718,.48056126,.41906691,.33208805,.34639594,.28529757,-.69875622,-.63491929,-.91833353,36342968320,25895006208,10447963136,116594860032,77206888448,39387971584,1.6,5.9499998,3.2,3.5250001
1972,.45490646,.39828205,.40190125,.36299086,.47018719,.41253948,.3434718,.35735145,.29838994,-.64786065,-.58687824,-.85497659,39144189952,27717890048,11426300928,118949019648,78676082688,40272941056,1.6,5.5999999,2.8,3.075
1973,.45767879,.39746952,.4103694,.36799765,.4633913,.4032402,.35456455,.36835557,.31076795,-.59903479,-.53927791,-.7965315,42003742720,29456490496,12547254272,121031262208,79545745408,41485516800,1.6,4.875,2.2750001,2.5250001
